name,online_order,rate,votes,location,rest_type,cuisines,approx_cost(for two people),listed_in(type),listed_in(city)
Paratha Plaza,Yes,3.0/5,96,BTM,Quick Bites,"North Indian, Chinese",300,Delivery,BTM
Sri Ganesh Fruit Juice Centre,Yes,3.2/5,4,Koramangala 6th Block,Beverage Shop,"Juices, Beverages",100,Delivery,BTM
Anika's India Kitchen,Yes,3.3/5,5,HSR,Delivery,"Biryani, North Indian",250,Delivery,BTM
Namana Garden,Yes,,0,Bannerghatta Road,Quick Bites,"South Indian, Beverages",250,Delivery,BTM
Sri Nandi Grand,Yes,3.4/5,6,BTM,Quick Bites,"North Indian, South Indian",300,Delivery,BTM
Gulp The Pulp,Yes,3.7/5,19,Koramangala 4th Block,Delivery,"Beverages, Juices, Healthy Food",200,Delivery,BTM
Burj Hotel,Yes,3.4/5,56,Bannerghatta Road,Quick Bites,"North Indian, Chinese",350,Delivery,BTM
North Chinese Centre,Yes,,0,Bannerghatta Road,Quick Bites,"Chinese, North Indian",250,Delivery,BTM
Sri Sankara Cafe,Yes,3.6/5,26,BTM,Quick Bites,South Indian,100,Delivery,BTM
Coco Barista,No,NEW,0,BTM,Cafe,"Cafe, Beverages",400,Delivery,BTM
Golden Restaurant,Yes,3.4/5,409,HSR,Casual Dining,"North Indian, Mughlai",750,Delivery,BTM
Parisar Veg Restaurant,Yes,3.6/5,64,Bommanahalli,Casual Dining,"Chinese, North Indian, South Indian",400,Delivery,BTM
Lassi Magic,Yes,,0,HSR,Beverage Shop,"Beverages, Ice Cream",200,Delivery,BTM
Kwality Cakes N Bakes,Yes,3.7/5,91,HSR,Bakery,"Bakery, Desserts",350,Delivery,BTM
Night Biryani,Yes,3.2/5,20,BTM,"Takeaway, Delivery","Biryani, North Indian",600,Delivery,BTM
Sree Krishna Kafe,Yes,4.2/5,969,Koramangala 5th Block,Quick Bites,South Indian,200,Delivery,BTM
Eat Repeat Express,Yes,3.2/5,20,JP Nagar,Casual Dining,"North Indian, South Indian, Chinese, Biryani, Mexican",700,Delivery,BTM
Drunken Monkey,Yes,4.4/5,290,Bannerghatta Road,"Beverage Shop, Quick Bites","Beverages, Fast Food",400,Delivery,BTM
Thanco's Natural Ice Cream,Yes,3.6/5,28,BTM,Dessert Parlor,"Ice Cream, Desserts",450,Delivery,BTM
The London Shakes,Yes,NEW,0,BTM,Beverage Shop,"Beverages, Fast Food, Italian",400,Delivery,BTM
Andhra Ruchulu,Yes,4.2/5,1430,JP Nagar,Casual Dining,"Andhra, North Indian",800,Delivery,BTM
On The Nose,Yes,3.8/5,613,BTM,Cafe,"Cafe, Italian, Mexican, Chinese",600,Delivery,BTM
Nandhi Andhra Style Family Restaurant,Yes,3.4/5,13,Jayanagar,Quick Bites,"Seafood, Biryani, South Indian, North Indian, Chinese, Kebab",400,Delivery,BTM
Shree Khana Khazana,Yes,3.9/5,356,HSR,Casual Dining,"North Indian, Chinese",450,Delivery,BTM
Tanu Di's Kitchen,Yes,,0,Koramangala 1st Block,Quick Bites,"North Indian, South Indian, Bengali",350,Delivery,BTM
Bun Town,Yes,4.0/5,204,BTM,"Cafe, Bakery","Cafe, Bakery",500,Delivery,BTM
Kabab Magic,Yes,4.0/5,957,Jayanagar,Quick Bites,"North Indian, Kebab, Fast Food",500,Delivery,BTM
Kaaram,Yes,3.9/5,321,Koramangala 6th Block,Casual Dining,"Andhra, Biryani",500,Delivery,BTM
New Punjabi Hotel,Yes,3.7/5,178,BTM,Quick Bites,"North Indian, Chinese",400,Delivery,BTM
Jose's Mess,No,4.3/5,315,BTM,Mess,"Kerala, South Indian, Biryani",300,Delivery,BTM
Juice 99,Yes,3.4/5,18,BTM,Quick Bites,Beverages,150,Delivery,BTM
Ammus Hot N Cool,Yes,3.4/5,84,BTM,Quick Bites,"North Indian, Chinese",300,Delivery,BTM
Cane Crussh,Yes,NEW,0,BTM,Beverage Shop,Juices,100,Delivery,BTM
Brew Meister,Yes,4.1/5,971,Jayanagar,"Microbrewery, Casual Dining","North Indian, Continental, Finger Food, American, Asian","1,500",,
 but was disappointed.\nBut the staff and the service is great.'), ('Rated 3.0', ('Rated 4.0', 'RATED\n  Went to brew Meister for an afternoon team outing.Nice place with a good decor. Beer and starters are really good. Must try the baby corn anritsari and the tandoori cheese mushroom starters. Non veg starters were also good (the team members really liked the mutton samosa and the orange chili chicken starters). Mocktails are not that good - they add a lot of sugar in it. Main course definitely needs improvement. Will recommend this place for a good brewed beer experience along with starters.'), 'RATED\n  One of the first rooftop breweries in Jayanagar. Excellent place to catch up with friends with some great food and drinks while soaking up the lovely neighborhood'), ('Rated 4.0'," so you can take my word for it.\nAwesome place to visit with friends and have long and fun conversations over beer and food. Brew Meister was a fitting conclusion to an excellent weekend full of amazement. Thank you!"""")", ('Rated 3.0', It is rooftop.\nWe ordered French fries, veg pasta
Cakes & Candles,Yes,3.1/5,11,Koramangala 5th Block,"Bakery, Dessert Parlor","Bakery, Desserts",300,Delivery,BTM
Reddy's Restaurant,Yes,3.7/5,141,HSR,Casual Dining,"Andhra, Biryani, South Indian, Chinese",500,Delivery,BTM
Desi Dhaba,Yes,3.3/5,13,BTM,Delivery,"North Indian, Chinese",400,Delivery,BTM
New Gongura Grand,Yes,3.9/5,368,HSR,Casual Dining,"Andhra, Biryani, North Indian, Chinese",550,Delivery,BTM
Kadal Da Meen,Yes,3.9/5,116,HSR,Casual Dining,"Biryani, Seafood",900,Delivery,BTM
Alankrutha,Yes,3.9/5,255,BTM,Casual Dining,"Andhra, Biryani, North Indian, Chinese",500,Delivery,BTM
Andhra Bhojanam,Yes,3.2/5,23,BTM,"Takeaway, Delivery","Andhra, Biryani, North Indian",600,Delivery,BTM
Velvet Kitchen,Yes,3.5/5,15,Bannerghatta Road,Casual Dining,"North Indian, Chinese",600,Delivery,BTM
Smoothie Hub,Yes,3.1/5,4,BTM,Beverage Shop,"Beverages, Sandwich",100,Delivery,BTM
154 Breakfast Club,Yes,4.0/5,1509,Koramangala 3rd Block,Cafe,"Cafe, Continental",900,Delivery,BTM
Shuddh Desi Khana,Yes,4.1/5,598,Bannerghatta Road,Quick Bites,North Indian,400,Delivery,BTM
99 Variety Dosa and Pav Bhaji,Yes,4.0/5,101,HSR,Quick Bites,"South Indian, North Indian, Street Food",250,Delivery,BTM
Kettle & Kegs,Yes,3.3/5,4,Bannerghatta Road,Delivery,"Tea, Beverages",200,Delivery,BTM
Xpress Chai,Yes,3.7/5,31,BTM,Beverage Shop,Tea,150,Delivery,BTM
Popsies,Yes,3.9/5,823,Koramangala 5th Block,Casual Dining,"Chinese, Momos",550,Delivery,BTM
The Chocolate Room,Yes,3.9/5,153,JP Nagar,Food Court,"Cafe, Desserts",400,Delivery,BTM
Petoo,Yes,4.0/5,23,BTM,Quick Bites,"North Indian, Fast Food, Beverages",400,Delivery,BTM
Watson's,Yes,4.0/5,1014,JP Nagar,"Pub, Bar","Finger Food, Chinese, Continental","1,300",Delivery,BTM
Le Arabia,Yes,NEW,0,JP Nagar,Casual Dining,"North Indian, Mughlai",600,Delivery,BTM
Chicken Magic,Yes,3.7/5,209,BTM,Quick Bites,"Chinese, North Indian",300,Delivery,BTM
Me And My Cake,Yes,3.1/5,8,JP Nagar,Takeaway,"Bakery, Desserts",500,Delivery,BTM
Pop Hop,Yes,4.1/5,205,Jayanagar,Dessert Parlor,"Ice Cream, Desserts",300,Delivery,BTM
Just Bake,Yes,3.8/5,122,Koramangala 5th Block,Bakery,"Bakery, Desserts",400,Delivery,BTM
Baskin Robbins,Yes,3.7/5,42,HSR,Dessert Parlor,"Ice Cream, Desserts",250,Delivery,BTM
Shree Saraswathi Sweets Centre,Yes,3.6/5,18,Koramangala 1st Block,Sweet Shop,"Mithai, Street Food",100,Delivery,BTM
Aramane Donne Biriyani,Yes,3.9/5,191,BTM,Quick Bites,"Biryani, Fast Food",300,Delivery,BTM
Malabar Mandra,Yes,3.6/5,45,Koramangala 1st Block,Casual Dining,"Kerala, Chinese",700,Delivery,BTM
Magix's Parattha Roll,Yes,3.7/5,184,BTM,Quick Bites,"Fast Food, North Indian, Chinese, Mughlai, Rolls",400,,
 nothing special.'), ('Rated 2.0', then better to avoid this outlet. They serve stale biriyani for the dinner. When enquired with the staff," they agreed to it.\n\nNot sure of other food items."""")"," """"RATED\n  Taste: 4.5/5\nValue for money: 3.5/5\nLocation: 4/5\nAmbience: 3/5\nService: 2/5\nOrder waiting time: 4/5 (15 mins)\n\nChicken kebab was tasty.\nNever order Arabian pulpy grape juice here. Only water few grapes.\n\nSelf service is there. From getting the order from the service area to bring spoon or sauce or glass you've to go there everytime.\n\nNice range of rolls and non-veg items available on the menu."""")", ('Rated 4.5', ('Rated 3.5'," """"RATED\n  UPDATE: (Feb 02", ('Rated 3.0', 'RATED\n  Visited couple of times as it is very near to the bus stop. They take very long to prepare a dish. I ordered fried rice once
Shree Udupi Grand,Yes,3.8/5,14,Jayanagar,Casual Dining,"South Indian, North Indian, Chinese",600,Delivery,BTM
Kalpavriksha Upahara,Yes,3.9/5,126,Jayanagar,Quick Bites,"South Indian, North Indian, Chinese",400,Delivery,BTM
New South Corner,Yes,3.7/5,20,BTM,Quick Bites,"South Indian, North Indian, Chinese",300,Delivery,BTM
Dande's Hyderabad Biryani,Yes,3.8/5,208,Bannerghatta Road,Casual Dining,"Biryani, Andhra, North Indian",700,Delivery,BTM
Raj Rasoi,Yes,3.5/5,12,Ejipura,Quick Bites,"North Indian, Chinese",250,Delivery,BTM
OMG Biriyani,Yes,3.4/5,16,BTM,Quick Bites,"Biryani, Andhra, Chinese",600,Delivery,BTM
Brew Point,Yes,3.6/5,10,JP Nagar,Cafe,"Cafe, American, Burger, Sandwich, Fast Food",500,Delivery,BTM
Mr. Beans - Home Cafe,Yes,4.2/5,2709,Koramangala 3rd Block,Cafe,"Cafe, Continental, Italian","1,000",,
 Nachos Supreme, Mixed Sauce Pasta with Broccoli and Mediterranean Veg & Rice Platter. The mushroom on toast was delicious, the Pasta was a disappointment, the sauce was too thin and it was bland in taste. \n\nFor drinks, Mason Jar - Fresh Water Melon Juice, Boston Cranberry Iced Tea. Each one was amazing. \n\nService was fast and the servers were friendly.')," """"RATED\n  Mr Beans- The place looks very quirky yet cute... Loved the concept how the place was designed. Thus 3 star for the look of the place. Was expecting the same from the food as well which unfortunately didn't turn out well. Whatever we ordered : chicken white pasta ( too dull to eat ) and waffle ( too sweet to eat).\nPlease improve the quality of your food "," the place will then be overall go till 4 star at least."""")", and peaceful to work in. They have really good cheesecake in a jar and pita with hummus. Service is good, although not the best.')
Cafe D'hide,Yes,4.2/5,869,Koramangala 5th Block,Cafe,"Cafe, American, Continental, Italian",600,Delivery,BTM
Karama Restaurant,Yes,3.8/5,9,BTM,"Takeaway, Delivery",Arabian,400,Delivery,BTM
Mayur,Yes,3.7/5,20,Hosur Road,Casual Dining,"North Indian, South Indian, Chinese",500,Delivery,BTM
Begin with us....Tea Time Cafe,Yes,3.8/5,36,Koramangala 7th Block,Beverage Shop,"Beverages, Tea",300,Delivery,BTM
Third Wave Coffee Roasters,Yes,4.2/5,140,HSR,Cafe,"Cafe, Continental",800,Delivery,BTM
INDULGE by InnerChef,Yes,3.6/5,29,Koramangala 7th Block,Bakery,"Desserts, Bakery",400,Delivery,BTM
World of Waffles,Yes,3.9/5,178,JP Nagar,Dessert Parlor,Desserts,400,Delivery,BTM
Chaska Bun,Yes,4.2/5,166,Koramangala 5th Block,Quick Bites,Fast Food,300,Delivery,BTM
Dreams Cafe - All Day English Food St.,Yes,3.8/5,231,Koramangala 1st Block,Cafe,"Cafe, Continental, Burger",600,,
 'RATED\n  The cafe is one of the most serene places around Koramangala. Highly recommended for those who love to sip their coffee with peace. Best part is the friendly staff and assorted menu.'), ('Rated 3.0', and taste is great. We had the English breakfast, and two other items. Also ordered coffee. The bad rating is for the poor service. A place with great potential let down by the lethargic attitude of the host. The service was taking quite some time and when we decided to at least have the beverages brought first, either hire more staff or be more courteous to the guests.'), ('Rated 4.5',the bacon had a balanced smokey flavour. I loved the Sauteed vegetables cooked to perfection which I seldom find in other breakfast cafÃ\x83Ã\x83Ã\x82Ã\x83Ã\x83Ã\x82Ã\x82ÃÂ©.\nI request the management to hire some more service guys to serve the customers better, as wen I was ter at the restaurant at around 9:45 am ter was only one waiter running around between 7-8 tables. I waited for my order for around 20 mins and it was worth waiting for . All in all food was good. Keep it up'), and no improvement in service (which is still slow) or the quality of food.\nUsed to come here because it was cheaper than other places while still providing good food, but that has changed and now you don't get the value for money.\nI used to recommend the place to others
Graffitea,Yes,3.7/5,16,BTM,"Beverage Shop, Quick Bites","Beverages, Fast Food",200,Delivery,BTM
Mecaf Family Restaurant,Yes,3.9/5,214,BTM,Casual Dining,"North Indian, Chinese, Fast Food, Rolls, Beverages",600,Delivery,BTM
Kabab Mehal,Yes,3.7/5,66,JP Nagar,Quick Bites,"Kebab, North Indian, Fast Food, Beverages",400,Delivery,BTM
Royal Calcutta Restaurant,Yes,3.3/5,57,HSR,Delivery,"Bengali, North Indian, Chinese",400,Delivery,BTM
Asha Tiffins,Yes,4.3/5,278,HSR,Quick Bites,South Indian,150,Delivery,BTM
Gruhalakshmi Home Foods,Yes,,0,Bommanahalli,Sweet Shop,Mithai,250,Delivery,BTM
Just Chill,Yes,3.4/5,54,BTM,Beverage Shop,Beverages,250,Delivery,BTM
Hunger2Eat,Yes,3.7/5,26,BTM,Quick Bites,"Biryani, Fast Food, North Indian",400,Delivery,BTM
Mani's Dum Biryani,Yes,3.9/5,374,Koramangala 1st Block,Casual Dining,"Biryani, Kebab",750,Delivery,BTM
Ramji Chaiwale,Yes,3.6/5,20,Jayanagar,Quick Bites,"Beverages, Fast Food",250,Delivery,BTM
Pingara,Yes,3.7/5,91,Koramangala 1st Block,Casual Dining,"North Indian, Chinese, Mangalorean",550,Delivery,BTM
Calicut Durbar,Yes,3.9/5,58,Koramangala 7th Block,Quick Bites,"Arabian, North Indian",500,Delivery,BTM
Momo Time,Yes,,0,Bannerghatta Road,Quick Bites,"Momos, American",600,Delivery,BTM
Navya Foods,Yes,3.4/5,7,HSR,Quick Bites,"North Indian, Fast Food",300,Delivery,BTM
C. K. Mega Hot Food,Yes,3.9/5,100,BTM,Casual Dining,"Chinese, Momos",600,Delivery,BTM
Punjabi Corner,Yes,3.9/5,202,Bannerghatta Road,Quick Bites,"North Indian, Chinese",250,Delivery,BTM
Lassi Plaza,Yes,,0,HSR,Quick Bites,"Desserts, Beverages",100,Delivery,BTM
The Hungers Zone,Yes,3.8/5,57,BTM,Quick Bites,"Fast Food, Italian, Pizza",300,Delivery,BTM
Kor Cafe,Yes,3.8/5,36,Koramangala 1st Block,Quick Bites,Kerala,300,Delivery,BTM
Chaitanya Cafe,Yes,3.9/5,92,JP Nagar,Quick Bites,"South Indian, North Indian, Fast Food",300,Delivery,BTM
Zaitoon Lassi Cafe,Yes,,0,BTM,Quick Bites,"Cafe, Burger, Sandwich, Beverages",150,Delivery,BTM
HOTEL VKM,Yes,,0,BTM,Quick Bites,South Indian,300,Delivery,BTM
Samosa Express,Yes,3.1/5,9,BTM,Quick Bites,Street Food,150,Delivery,BTM
Lord of Combos,Yes,3.1/5,27,HSR,Delivery,North Indian,500,Delivery,BTM
Hyderabad Biryaani House,Yes,4.1/5,1112,Koramangala 5th Block,Casual Dining,"Biryani, North Indian, Chinese, Hyderabadi",750,Delivery,BTM
Chicken County Grand,Yes,3.9/5,320,Bannerghatta Road,Casual Dining,"North Indian, Chinese",650,Delivery,BTM
Gyani Da Punjabi Dhaba,Yes,3.9/5,1189,BTM,Quick Bites,"North Indian, Chinese",500,Delivery,BTM
North Indian Tadka,Yes,3.0/5,6,Ejipura,Quick Bites,"Chinese, North Indian",200,Delivery,BTM
Biriyani Bhatti,Yes,3.7/5,21,BTM,Quick Bites,"Chinese, Hyderabadi, North Indian",400,Delivery,BTM
Mug N Bean,Yes,3.9/5,247,Jayanagar,Cafe,"Cafe, Continental, Italian, Burger",400,Delivery,BTM
Refills Eatery And Beverages,Yes,3.8/5,91,BTM,Delivery,"North Indian, South Indian, Chinese",450,Delivery,BTM
King Punjabi Restaurant,No,3.8/5,52,BTM,Quick Bites,North Indian,300,Delivery,BTM
Oregano Pizzeria,Yes,3.7/5,53,Koramangala 4th Block,Cafe,"Cafe, Italian, Pizza",450,Delivery,BTM
Snack Knack,Yes,3.0/5,36,BTM,Quick Bites,"North Indian, Chinese",200,Delivery,BTM
Ooty Chocolates,Yes,4.1/5,157,Koramangala 4th Block,Dessert Parlor,Desserts,300,Delivery,BTM
Baba Ka Dhaba,Yes,3.7/5,195,BTM,Quick Bites,North Indian,400,Delivery,BTM
Hotel Godavari,Yes,3.9/5,222,BTM,Casual Dining,"Andhra, Chinese, North Indian, Biryani",500,Delivery,BTM
Tharavadu,Yes,3.8/5,84,HSR,Quick Bites,"Chinese, North Indian, Kerala",400,Delivery,BTM
Onesta,Yes,4.4/5,9041,Koramangala 4th Block,"Casual Dining, Cafe","Pizza, Cafe, Italian",600,,
 ('Rated 2.0'," """"RATED\n  6 months back I was here with my friends","Hope you find it better."""")", ('Rated 4.0', ('Rated 3.0'," """"RATED\n  Service - 4/5\nFood -3/5\nAmbience-3/5\n\nWell"," few pieces were over fried and a few were under fried. I wouldn't try te dish again. The Manager was kind enough to change the dish and switch it with Fish Fingers which was a lot better.\n\nDouble chocolate Cake yet again was really good.\n\nI was not much impressed with ambiance except for the good music."""")", ('Rated 5.0', ('Rated 3.0', 'RATED\n  Onesta is one of a kind pizza buffet place in bangalore. They have multiple outlets across the city.\n\nThey have a set buffet and a la carte options. Buffet includes\n\n1 mocktail\nUnlimited pizzas\nUnlimited desserts\n\nWhile I was very excited to try varied pizzas
New Kabab Plaza,Yes,3.7/5,135,BTM,Casual Dining,"North Indian, Chinese",500,Delivery,BTM
Woody's,Yes,2.6/5,208,JP Nagar,Casual Dining,"Chinese, South Indian, North Indian",650,Delivery,BTM
Havmor,Yes,3.8/5,37,Jayanagar,Dessert Parlor,"Ice Cream, Desserts",200,Delivery,BTM
Cafe Medley,Yes,4.2/5,1059,Koramangala 5th Block,Cafe,"Cafe, Continental, Burger",800,Delivery,BTM
Khana Khazana,Yes,3.7/5,22,Bannerghatta Road,Delivery,North Indian,400,Delivery,BTM
Afghani Tandoori Hub,Yes,3.6/5,14,BTM,Quick Bites,"Arabian, Afghan",400,Delivery,BTM
Noodle Panda,Yes,4.3/5,336,Koramangala 5th Block,Casual Dining,"Chinese, Indonesian, Japanese, Malaysian, Thai, Vietnamese, Momos",800,Delivery,BTM
Biryani Palace,Yes,3.9/5,459,HSR,Quick Bites,"Biryani, Hyderabadi, Chinese",600,Delivery,BTM
Thottathil Restaurant,No,3.8/5,69,BTM,Quick Bites,"Kerala, South Indian, Biryani",300,Delivery,BTM
Bhojohori Manna,Yes,4.1/5,1956,Koramangala 6th Block,Casual Dining,"Bengali, Mughlai",650,Delivery,BTM
Tawa Sagara,Yes,3.8/5,122,Jayanagar,Casual Dining,"Mangalorean, Seafood",700,,
 'RATED\n  The food and service is great here. Had the Chicken Ghaslonsi , Chicken Ghee Roast with Cylon Paratha. The Ghassi and ghee roast were really good so was the paratha. Great service too. Keep up the good work . Will be coming back for more.'), 'RATED\n  See food lovers must try place..\nOverall had good experience, and taste also good..\nNot rich environment but decent enough and not good area to be..\nService were pretty fast ..'), 'RATED\n  #Never Visted#Got it Specially prepared#must try ?fry&?Curry#flavors?#Pocket Friendly#?customer service?#Delivered on?.'), ('Rated 3.5', hardly any fish in the Thali hence ordered mackerel masala fry, was expecting Mangalore style but it was just ok. So overall nice experience to have sea food after a long time.')," this trident was perfectly fulfilled here.\n\nThe taste is excellent and food felt really fresh.\n\nService was top notch. The servers were on the move monitoring every table and aiding to serve food the second a person had an empty plate.\n\nThe bad :\n--------------\n\nNone.\n\nVerdict :\nDefinitely a must try restaurant in bangalore for its excellent quality of food and pocket friendly prices.\n\nDishes ordered :\n\nAnjal fish tawa fry\nGinger kabab\nChicken afghani gravy\nRomali roti\nNaan\nTandoori chicken biryani ( must have )"""")", ('Rated 4.5'
Pappu Da Dhaba,Yes,3.0/5,57,Jayanagar,Quick Bites,"North Indian, Fast Food, Beverages, Momos",400,Delivery,BTM
Kulfisthan,Yes,3.4/5,5,HSR,Dessert Parlor,Ice Cream,150,Delivery,BTM
Le Centre Jeunesse,Yes,,0,Bannerghatta Road,Quick Bites,Continental,400,Delivery,BTM
Szechuan Dragon,Yes,3.9/5,180,HSR,Delivery,"Chinese, Thai, Momos",600,Delivery,BTM
UBQ by Barbeque Nation,Yes,3.5/5,5,Koramangala 1st Block,Delivery,"North Indian, BBQ, Biryani, Kebab",450,Delivery,BTM
Aubree Le Chocolatier,Yes,NEW,0,Koramangala 6th Block,Dessert Parlor,Desserts,300,Delivery,BTM
Mealer.in,Yes,4.2/5,701,Koramangala 4th Block,Delivery,"North Indian, Biryani",450,Delivery,BTM
RSS Donne Biryani,Yes,3.3/5,59,BTM,Quick Bites,Biryani,300,Delivery,BTM
Juice Junction Food Court,Yes,3.7/5,70,Koramangala 6th Block,"Beverage Shop, Quick Bites","Beverages, Juices, Fast Food",250,Delivery,BTM
Panther Cafe,Yes,3.5/5,8,BTM,Beverage Shop,Beverages,200,Delivery,BTM
New Mangalore Lunch Home,Yes,3.7/5,36,Koramangala 1st Block,Quick Bites,"Mangalorean, Chinese, North Indian",300,Delivery,BTM
Crunch Pizzas,Yes,2.6/5,54,HSR,Delivery,"Italian, Pizza",600,Delivery,BTM
Patio 805,Yes,4.1/5,364,Jayanagar,Casual Dining,"Thai, Vietnamese, Asian, Chinese","1,200",Delivery,BTM
Zaitoon,Yes,4.1/5,1543,JP Nagar,Casual Dining,"BBQ, Arabian, Chinese, North Indian, Desserts","1,000",Delivery,BTM
Chatter Platter,Yes,3.4/5,29,BTM,Quick Bites,"Street Food, North Indian",300,Delivery,BTM
Cookie Man,Yes,4.0/5,100,Koramangala 7th Block,Dessert Parlor,Bakery,150,Delivery,BTM
Brownie Points,Yes,3.8/5,25,Koramangala 4th Block,Bakery,"Bakery, Desserts",300,Delivery,BTM
The Chai Stop,Yes,NEW,0,Koramangala 5th Block,Quick Bites,"Fast Food, Tea",200,Delivery,BTM
Ustaad Biryani,Yes,3.2/5,5,HSR,Delivery,Biryani,500,Delivery,BTM
Soup Station,Yes,,0,"ITPL Main Road, Whitefield",Quick Bites,Continental,250,Delivery,BTM
Lassi Corner,Yes,3.4/5,15,Koramangala 5th Block,Beverage Shop,"Beverages, Desserts",300,Delivery,BTM
Biryani Mandra,Yes,3.8/5,70,Koramangala 1st Block,"Takeaway, Delivery","Seafood, Salad, North Indian, Biryani, Chinese",500,Delivery,BTM
Lucknowi Dabba,Yes,3.7/5,21,Koramangala 1st Block,Delivery,"Mughlai, Chinese, North Indian",300,Delivery,BTM
Melting Melodies,Yes,NEW,0,Koramangala 1st Block,Bakery,"Bakery, Desserts",600,Delivery,BTM
Call A Cake,Yes,3.6/5,41,BTM,Delivery,Bakery,500,Delivery,BTM
Qube Cafe,Yes,4.2/5,166,Koramangala 4th Block,Cafe,"Cafe, Desserts",700,Delivery,BTM
PK Dhaba,Yes,NEW,0,Marathahalli,Dhaba,"North Indian, Fast Food, Beverages",250,Delivery,BTM
Rang De Basanthi,Yes,3.7/5,434,Koramangala 4th Block,Quick Bites,"North Indian, South Indian, Chinese",400,Delivery,BTM
The Burger Place,Yes,3.8/5,26,Koramangala 1st Block,Quick Bites,"Burger, Continental, Fast Food",400,Delivery,BTM
Little Lucknow,Yes,4.0/5,235,Koramangala 5th Block,Casual Dining,"Mughlai, North Indian",800,Delivery,BTM
Odissi Restaurant,Yes,2.8/5,62,BTM,Casual Dining,"Oriya, Bengali",500,Delivery,BTM
1441 Pizzeria,Yes,4.1/5,129,JP Nagar,Casual Dining,"Pizza, Salad",800,Delivery,BTM
Quench The Juice Lounge,Yes,3.6/5,18,Jayanagar,Beverage Shop,"Beverages, Juices, Ice Cream",150,Delivery,BTM
Dabba Gosht,Yes,3.5/5,7,BTM,"Takeaway, Delivery","Arabian, Middle Eastern",400,Delivery,BTM
Calvin's,Yes,3.8/5,22,HSR,"Dessert Parlor, Quick Bites",Desserts,800,Delivery,BTM
Kababish Restaurant,Yes,3.6/5,15,BTM,,"North Indian, Chinese, Arabian",700,Delivery,BTM
Smoke - The Sizzler House,Yes,3.8/5,94,Bannerghatta Road,Food Court,"Continental, Chinese, Thai, Italian, BBQ, Steak","1,100",Delivery,BTM
GrannyzHut,Yes,3.4/5,8,HSR,Quick Bites,"Bengali, North Indian",350,Delivery,BTM
Cafe Noir,Yes,,0,Koramangala 7th Block,Casual Dining,"European, French, Salad","1,500",Delivery,BTM
The Beer Cafe,Yes,4.2/5,1168,Koramangala 4th Block,Pub,"Finger Food, Chinese, Italian, Burger","1,300",Delivery,BTM
Attic Lounge,Yes,4.0/5,1229,Koramangala 4th Block,Cafe,Cafe,700,,
 ('Rated 5.0'," """"RATED\n  The pizza was the best thing I had in Attic. It's loaded with cheese and it's too delicious to satisfy the taste buds. The ambience is also very good."""")"," """"RATED\n  The place looks good. Well maintained. The service boys are soft spoken. But the time taken to serve anything is too much. Hookah over priced and extrem rules can't mix much flavours and time limit.\nWhen we entered the place looked empty and asked for the table on top but they refused saying they are not serving there. And as soon as there is a group coming there they started serving them.\nTried-\nPaneer chilli- was okay. Nothing great\nPalak paneer- was not good.\nHad order 3 butter tandoori roti received it without butter.\nChocolate milk shake- the chocolate flavour was too less in to it.\nHookah- better not try it as we who smoke it everyday never have a have a headache because of it but there hookah does give a headache.Hookah menu torn no pricing mentioned on the menu. A big no to this place for everything. It's just waste of time and money.\n\nFood-1/5\nAmbience-3/5\nMusic-3/5\nService-2/5\nHookah-1/5\nParking available.\n."""")", ('Rated 5.0', ('Rated 4.0', 'RATED\n  Zomato gold for food! Been here quite a few times.\nFood is tasty. No doubt about it. Have tried the tandoori chicken and fish dishes and none have disappointed. Lemon tea is a blessing in this place. Ambience is decent. Rooftop! Loud music. Nicely lit up. Crowd is typically 18-30. Service is okay ish. Given the layout, ('Rated 5.0'," """"RATED\n  The pizza was the best thing I had in Attic. It's loaded with cheese and it's too delicious to satisfy the taste buds. The ambience is also very good."""")", ('Rated 5.0', 'RATED\n  Place is good and its pocket friendly! You can stay here as long as you want ! Food were really good especially the pizzas? and ambience is really amazing !? loved this place and wanna visit again?')
AM WOW,Yes,3.4/5,6,Jayanagar,Beverage Shop,Beverages,100,Delivery,BTM
Nati Palace,Yes,3.5/5,11,JP Nagar,Quick Bites,"South Indian, North Indian",200,Delivery,BTM
Eagles Pizza,Yes,3.6/5,14,Koramangala 7th Block,Casual Dining,"Pizza, Italian",400,Delivery,BTM
Shake The Shake,Yes,NEW,0,BTM,Beverage Shop,Juices,200,Delivery,BTM
Bistro Claytopia,Yes,4.1/5,1845,Koramangala 1st Block,Cafe,"Cafe, American, Italian, Burger",600,Delivery,BTM
Mr. Parathewala,Yes,,0,Jayanagar,"Takeaway, Delivery",North Indian,300,Delivery,BTM
Healthy Parathawala,Yes,NEW,0,BTM,Quick Bites,North Indian,200,Delivery,BTM
Veruthe Oru Thattukada,Yes,3.7/5,27,BTM,Quick Bites,"Kerala, South Indian",400,Delivery,BTM
Delicacy,Yes,3.9/5,519,Koramangala 4th Block,Casual Dining,"Chinese, Thai, Momos",500,Delivery,BTM
My Tea House,Yes,NEW,0,Banashankari,Casual Dining,"Continental, Asian, North Indian, Tea",500,Delivery,BTM
WTF,Yes,4.1/5,90,Koramangala 5th Block,Cafe,"Cafe, Continental",600,Delivery,BTM
Indian Desi Momo,Yes,,0,Bommanahalli,Takeaway,Momos,200,Delivery,BTM
